Date,Close
12/6/2012,5930.9
12/7/2012,5907.4
12/10/2012,5908.9
12/11/2012,5898.8
12/12/2012,5888
12/13/2012,5851.5
12/14/2012,5879.6
12/17/2012,5857.9
12/18/2012,5896.8
12/19/2012,5929.6
12/20/2012,5916.4
12/21/2012,5847.7
12/24/2012,5855.75
12/26/2012,5905.6
12/27/2012,5870.1
12/28/2012,5908.35
12/31/2012,5905.1
1/1/2013,5950.85
1/2/2013,5993.25
1/3/2013,6009.5
1/4/2013,6016.15
1/7/2013,5988.4
1/8/2013,6001.7
1/9/2013,5971.5
1/10/2013,5968.65
1/11/2013,5951.3
1/14/2013,6024.05
1/15/2013,6056.6
1/16/2013,6001.85
1/17/2013,6039.2
1/18/2013,6064.4
1/21/2013,6082.3
1/22/2013,6048.5
1/23/2013,6054.3
1/24/2013,6019.35
1/25/2013,6074.65
1/28/2013,6074.8
1/29/2013,6049.9
1/30/2013,6055.75
1/31/2013,6034.75
2/1/2013,5998.9
2/4/2013,5987.25
2/5/2013,5956.9
2/6/2013,5959.2
2/7/2013,5938.8
2/8/2013,5903.5
2/11/2013,5897.85
2/12/2013,5922.5
2/13/2013,5932.95
2/14/2013,5896.95
2/15/2013,5887.4
2/18/2013,5898.2
2/19/2013,5939.7
2/20/2013,5943.05
2/21/2013,5852.25
2/22/2013,5850.3
2/25/2013,5854.75
2/26/2013,5761.35
2/27/2013,5796.9
2/28/2013,5693.05
3/1/2013,5719.7
3/4/2013,5698.5
3/5/2013,5784.25
3/6/2013,5818.6
3/7/2013,5863.3
3/8/2013,5945.7
3/11/2013,5942.35
3/12/2013,5914.1
3/13/2013,5851.2
3/14/2013,5908.95
3/15/2013,5872.6
3/18/2013,5835.25
3/19/2013,5745.95
3/20/2013,5694.4
3/21/2013,5658.75
3/22/2013,5651.35
3/25/2013,5633.85
3/26/2013,5641.6
3/28/2013,5682.55
4/1/2013,5704.4
4/2/2013,5748.1
4/3/2013,5672.9
4/4/2013,5574.75
4/5/2013,5553.25
4/8/2013,5542.95
4/9/2013,5495.1
4/10/2013,5558.7
4/11/2013,5594
4/12/2013,5528.55
4/15/2013,5568.4
4/16/2013,5688.95
4/17/2013,5688.7
4/18/2013,5783.1
4/22/2013,5834.4
4/23/2013,5836.9
4/25/2013,5916.3
4/26/2013,5871.45
4/29/2013,5904.1
4/30/2013,5930.2
5/2/2013,5999.35
5/3/2013,5944
5/6/2013,5971.05
5/7/2013,6043.55
5/8/2013,6069.3
5/9/2013,6050.15
5/10/2013,6094.75
5/13/2013,5980.45
5/14/2013,5995.4
5/15/2013,6146.75
5/16/2013,6169.9
5/17/2013,6187.3
5/20/2013,6156.9
5/21/2013,6114.1
5/22/2013,6094.5
5/23/2013,5967.05
5/24/2013,5983.55
5/27/2013,6083.15
5/28/2013,6111.25
5/29/2013,6104.3
5/30/2013,6124.05
5/31/2013,5985.95
6/3/2013,5939.3
6/4/2013,5919.45
6/5/2013,5923.85
6/6/2013,5921.4
6/7/2013,5881
6/10/2013,5878
6/11/2013,5788.8
6/12/2013,5760.2
6/13/2013,5699.1
6/14/2013,5808.4
6/17/2013,5850.05
6/18/2013,5813.6
6/19/2013,5822.25
6/20/2013,5655.9
6/21/2013,5667.65
6/24/2013,5590.25
6/25/2013,5609.1
6/26/2013,5588.7
6/27/2013,5682.35
6/28/2013,5842.2
7/1/2013,5898.85
7/2/2013,5857.55
7/3/2013,5770.9
7/4/2013,5836.95
7/5/2013,5867.9
7/8/2013,5811.55
7/9/2013,5859
7/10/2013,5816.7
7/11/2013,5935.1
7/12/2013,6009
7/15/2013,6030.8
7/16/2013,5955.25
7/17/2013,5973.3
7/18/2013,6038.05
7/19/2013,6029.2
7/22/2013,6031.8
7/23/2013,6077.8
7/24/2013,5990.5
7/25/2013,5907.5
7/26/2013,5886.2
7/29/2013,5831.65
7/30/2013,5755.05
7/31/2013,5742
8/1/2013,5727.85
8/2/2013,5677.9
8/5/2013,5685.4
8/6/2013,5542.25
8/7/2013,5519.1
8/8/2013,5565.65
8/12/2013,5612.4
8/13/2013,5699.3
8/14/2013,5742.3
8/16/2013,5507.85
8/19/2013,5414.75
8/20/2013,5401.45
8/21/2013,5302.55
8/22/2013,5408.45
8/23/2013,5471.75
8/26/2013,5476.5
8/27/2013,5287.45
8/28/2013,5285
8/29/2013,5409.05
8/30/2013,5471.8
9/2/2013,5550.75
9/3/2013,5341.45
9/4/2013,5448.1
9/5/2013,5592.95
9/6/2013,5680.4
9/10/2013,5896.75
9/11/2013,5913.15
9/12/2013,5850.7
9/13/2013,5850.6
9/16/2013,5840.55
9/17/2013,5850.2
9/18/2013,5899.45
9/19/2013,6115.55
9/20/2013,6012.1
9/23/2013,5889.75
9/24/2013,5892.45
9/25/2013,5873.85
9/26/2013,5882.25
9/27/2013,5833.2
9/30/2013,5735.3
10/1/2013,5780.05
10/3/2013,5909.7
10/4/2013,5907.3
10/7/2013,5906.15
10/8/2013,5928.4
10/9/2013,6007.45
10/10/2013,6020.95
10/11/2013,6096.2
10/14/2013,6112.7
10/15/2013,6089.05
10/17/2013,6045.85
10/18/2013,6189.35
10/21/2013,6204.95
10/22/2013,6202.8
10/23/2013,6178.35
10/24/2013,6164.35
10/25/2013,6144.9
10/28/2013,6101.1
10/29/2013,6220.9
10/30/2013,6251.7
10/31/2013,6299.15
11/1/2013,6307.2
11/5/2013,6253.15
11/6/2013,6215.15
11/7/2013,6187.25
11/8/2013,6140.75
11/11/2013,6078.8
11/12/2013,6018.05
11/13/2013,5989.6
11/14/2013,6056.15
11/18/2013,6189
11/19/2013,6203.35
11/20/2013,6122.9
11/21/2013,5999.05
11/22/2013,5995.45
11/25/2013,6115.35
11/26/2013,6059.1
11/27/2013,6057.1
11/28/2013,6091.85
11/29/2013,6176.1
12/2/2013,6217.85
12/3/2013,6201.85
12/4/2013,6160.95
12/5/2013,6241.1
12/6/2013,6259.9
12/9/2013,6363.9
12/10/2013,6332.85
12/11/2013,6307.9
12/12/2013,6237.05
12/13/2013,6168.4
12/16/2013,6154.7
12/17/2013,6139.05
12/18/2013,6217.15
12/19/2013,6166.65
12/20/2013,6274.25
12/23/2013,6284.5
12/24/2013,6268.4
12/26/2013,6278.9
12/27/2013,6313.8
12/30/2013,6291.1
12/31/2013,6304
1/1/2014,6301.65
1/2/2014,6221.15
1/3/2014,6211.15
1/6/2014,6191.45
1/7/2014,6162.25
1/8/2014,6174.6
1/9/2014,6168.35
1/10/2014,6171.45
1/13/2014,6272.75
1/14/2014,6241.85
1/15/2014,6320.9
1/16/2014,6318.9
1/17/2014,6261.65
1/20/2014,6303.95
1/21/2014,6313.8
1/22/2014,6338.95
1/23/2014,6345.65
1/24/2014,6266.75
1/27/2014,6135.85
1/28/2014,6126.25
1/29/2014,6120.25
1/30/2014,6073.7
1/31/2014,6089.5
2/3/2014,6001.8
2/4/2014,6000.9
2/5/2014,6022.4
2/6/2014,6036.3
2/7/2014,6063.2
2/10/2014,6053.45
2/11/2014,6062.7
2/12/2014,6084
2/13/2014,6001.1
2/14/2014,6048.35
2/17/2014,6073.3
2/18/2014,6127.1
2/20/2014,6091.45
2/21/2014,6155.45
2/24/2014,6186.1
2/25/2014,6200.05
2/26/2014,6238.8
2/28/2014,6276.95
3/3/2014,6221.45
3/4/2014,6297.95
3/5/2014,6328.65
3/6/2014,6401.15
3/7/2014,6526.65
3/10/2014,6537.25
3/11/2014,6511.9
3/12/2014,6516.9
